group,smearing
het_black_female,1.02448987127776
het_black_male,1.01753621173431
het_hisp_female,1.01813859808375
het_hisp_male,1.01422033725858
het_white_female,1.02506868829199
het_white_male,1.01434496126995
idu_black_female,1.02103257140662
idu_black_male,1.01419856864944
idu_hisp_male,1.0115430764495
idu_white_male,1.01100603823991
msm_black_male,1.01547433714965
msm_hisp_male,1.01149377924329
msm_white_male,1.01168668677002
idu_hisp_female,1.01625362246519
idu_white_female,1.01625362246519

0f486d9d01eafbcaf99f7521ccc19c26239ec98a
