group,rse
het_black_female,0.282761903691665
het_black_male,0.228330089716347
het_hisp_female,0.236124278325566
het_hisp_male,0.213890177141246
het_white_female,0.291594434423381
het_white_male,0.208350172280972
idu_black_female,0.305007672581106
idu_black_male,0.218768155659219
idu_hisp_female,0.309179238076382
idu_hisp_male,0.214358094332943
idu_white_female,0.309179238076382
idu_white_male,0.220343927516752
msm_black_male,0.206577387759098
msm_hisp_male,0.185315450509948
msm_white_male,0.18677088600872

0f486d9d01eafbcaf99f7521ccc19c26239ec98a
