group,rse
het_black_female,0.0954301730461879
het_black_male,0.0802496941608263
het_hisp_female,0.0831911488745424
het_hisp_male,0.0726764088691833
het_white_female,0.0961581822875093
het_white_male,0.0730073681150183
idu_black_female,0.0883050438599571
idu_black_male,0.0722104096947066
idu_hisp_female,0.0779421491491947
idu_hisp_male,0.0661489985594597
idu_white_female,0.0779421491491947
idu_white_male,0.0638275497207885
msm_black_male,0.0750300300745094
msm_hisp_male,0.0650324158268703
msm_white_male,0.0654909290932918

0f486d9d01eafbcaf99f7521ccc19c26239ec98a
