group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,135.313121540894,-0.0686241579422717,0.0212009692655101,0.0315055301271674,-0.0425899184613188,-0.195903964090192,0.137119196490614,-0.202804328934707
het_black_male,-6.17604406093128,0.001199245888365,0.0330612074421152,0.0289470783984124,-0.0821333308168526,-0.163144049017962,0.129159749260307,-0.513819543651856
het_hisp_female,36.9533073366966,-0.0213384191784442,0.114011019984411,-0.119759299047452,0.298772451252502,-0.201709113599838,0.148587128079179,-0.442855483831964
het_hisp_male,52.2826383248238,-0.027608261581084,0.0278175784849426,0.0541218695231951,-0.12697981324935,-0.195267298699733,0.240629666385908,-0.96489539732273
het_white_female,36.9533073366966,-0.0213384191784442,0.114011019984411,-0.119759299047452,0.298772451252502,-0.201709113599838,0.148587128079179,-0.442855483831964
het_white_male,52.2826383248238,-0.027608261581084,0.0278175784849426,0.0541218695231951,-0.12697981324935,-0.195267298699733,0.240629666385908,-0.96489539732273
idu_black_female,4.49815735223943,-0.0067774064972094,0.164329904174985,-0.187326687292111,0.859052910245057,-0.119730922375641,-0.0204268578775622,0.429342086508579
idu_black_male,160.060452194726,-0.0813415409577626,0.0388157562588935,0.099528610528499,-0.555639166979477,-0.146593091369383,0.0717969454329594,0.0734818727046564
idu_hisp_female,-147.355594653234,0.0738270581887216,-0.0582426805869743,0.213669228340969,-0.822252397295696,-0.203521330901748,0.279596760863572,-0.781100183827097
idu_hisp_male,94.1110342350299,-0.0487327123069446,0.0436364988290206,0.0463512803131581,-0.243549454040353,-0.135806265192519,0.0627652060439164,-0.0199029927634798
idu_white_female,-147.355594653234,0.0738270581887216,-0.0582426805869743,0.213669228340969,-0.822252397295696,-0.203521330901748,0.279596760863572,-0.781100183827097
idu_white_male,97.9169721032891,-0.050479786099877,0.0433505223456685,0.0677786279887812,-0.432652352725069,-0.145827490494718,0.102553935134072,-0.135485945319861
msm_black_male,72.4588492479812,-0.0384367957410742,0.0749228747769074,-0.0811110846494591,0.229818845102656,-0.171542158334571,0.0127438960314474,0.685651983667389
msm_hisp_male,91.5820356262351,-0.047243171547742,0.0280764140039515,0.133330289970788,-0.476439026245549,-0.222818617933318,0.146388183188318,-0.0587898600691352
msm_white_male,52.5305100625207,-0.0275912980380122,0.032964221212139,0.0530697258207246,-0.288087021802535,-0.19715899619042,0.126832576679934,-0.0656497146565947

4079fca7808bd05a22bb61efba4c0167733acff8
