group,covariate,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,intercept,4162.34141871883,-2.06997770045873,0.0583955909564865,-0.11648046358488,0.468754025224511,-0.0301521326534783,0.394715756111046,-2.78087315322769
het_black_male,year,-2.06997770029563,0.001029678176653,-4.20668456809321e-05,8.26335366746045e-05,-0.0003341650194639,1.24033479112299e-05,-0.0001902372904952,0.0013512185902883
het_black_male,age,0.0583955909280232,-4.20668456591593e-05,0.0006965885079925,-0.0013802460834346,0.0057796169724288,5.00149441294088e-05,-0.0001214926267203,0.000675553472092
het_black_male,age1,-0.116480463563838,8.26335366447111e-05,-0.0013802460834327,0.0032716096890034,-0.0149310222843997,-0.0001419927887248,0.0004210293920048,-0.0025401289544231
het_black_male,age2,0.468754025138598,-0.0003341650193356,0.0057796169724203,-0.0149310222843999,0.0714262566149085,0.0005990377965455,-0.0019669494243841,0.0120303120544861
het_black_male,tv_sqrtcd4n,-0.0301521326581771,1.24033479146188e-05,5.00149441293323e-05,-0.0001419927887251,0.0005990377965467,0.0004140837567401,-0.0011831368083568,0.0065618398835196
het_black_male,tv_sqrtcd4n1,0.394715756168665,-0.0001902372905326,-0.0001214926267199,0.0004210293920076,-0.001966949424397,-0.0011831368083569,0.0044814273610033,-0.027870434618778
het_black_male,tv_sqrtcd4n2,-2.78087315346862,0.0013512185904553,0.0006755534720891,-0.0025401289544342,0.0120303120545332,0.00656183988352,-0.0278704346187742,0.191808740784233
het_black_female,intercept,4306.89300939794,-2.14026550482996,-0.0607130900288936,0.228191147424561,-0.887080211084342,-0.0490411232840513,0.53224950592567,-3.11839825093792
het_black_female,year,-2.14026550398769,0.0010637686423392,1.95960680129882e-05,-8.89964416376571e-05,0.000353740810697,2.23405215464386e-05,-0.0002592291334606,0.0015180574057915
het_black_female,age,-0.0607130900025612,1.959606801168e-05,0.0006324500531274,-0.0015286412558897,0.0055646286359657,5.03009616002909e-05,-0.0001494084305243,0.0010638501675926
