group,mortality_age_group,p
het_black_female,0,0.00029631824579598486
het_black_female,1,0.0004952886692747203
het_black_female,2,0.0007038856937438021
het_black_female,3,0.0009681377373263913
het_black_female,4,0.001271580352745582
het_black_female,5,0.0016732922413108388
het_black_female,6,0.002467600256668729
het_black_female,7,0.0037848742999689413
het_black_female,8,0.005714684498573391
het_black_female,9,0.008126795922810076
het_black_female,10,0.011635271917895242
het_black_female,11,0.018215914658042485
het_black_female,12,0.029820870902873664
het_black_female,13,0.051254939128020885
het_hisp_female,0,0.00029631824579598486
het_hisp_female,1,0.0004952886692747203
het_hisp_female,2,0.0007038856937438021
het_hisp_female,3,0.0009681377373263913
het_hisp_female,4,0.001271580352745582
het_hisp_female,5,0.0016732922413108388
het_hisp_female,6,0.002467600256668729
het_hisp_female,7,0.0037848742999689413
het_hisp_female,8,0.005714684498573391
het_hisp_female,9,0.008126795922810076
het_hisp_female,10,0.011635271917895242
het_hisp_female,11,0.018215914658042485
het_hisp_female,12,0.029820870902873664
het_hisp_female,13,0.051254939128020885
het_white_female,0,0.00029631824579598486
het_white_female,1,0.0004952886692747203
het_white_female,2,0.0007038856937438021
het_white_female,3,0.0009681377373263913
het_white_female,4,0.001271580352745582
het_white_female,5,0.0016732922413108388
het_white_female,6,0.002467600256668729
het_white_female,7,0.0037848742999689413
het_white_female,8,0.005714684498573391
het_white_female,9,0.008126795922810076
het_white_female,10,0.011635271917895242
het_white_female,11,0.018215914658042485
het_white_female,12,0.029820870902873664
het_white_female,13,0.051254939128020885
idu_black_female,0,0.00029631824579598486
idu_black_female,1,0.0004952886692747203
idu_black_female,2,0.0007038856937438021
idu_black_female,3,0.0009681377373263913
idu_black_female,4,0.001271580352745582
idu_black_female,5,0.0016732922413108388
idu_black_female,6,0.002467600256668729
idu_black_female,7,0.0037848742999689413
idu_black_female,8,0.005714684498573391
idu_black_female,9,0.008126795922810076
idu_black_female,10,0.011635271917895242
idu_black_female,11,0.018215914658042485
idu_black_female,12,0.029820870902873664
idu_black_female,13,0.051254939128020885
idu_hisp_female,0,0.00029631824579598486
idu_hisp_female,1,0.0004952886692747203
idu_hisp_female,2,0.0007038856937438021
idu_hisp_female,3,0.0009681377373263913
idu_hisp_female,4,0.001271580352745582
idu_hisp_female,5,0.0016732922413108388
idu_hisp_female,6,0.002467600256668729
idu_hisp_female,7,0.0037848742999689413
idu_hisp_female,8,0.005714684498573391
idu_hisp_female,9,0.008126795922810076
idu_hisp_female,10,0.011635271917895242
idu_hisp_female,11,0.018215914658042485
idu_hisp_female,12,0.029820870902873664
idu_hisp_female,13,0.051254939128020885
idu_white_female,0,0.00029631824579598486
idu_white_female,1,0.0004952886692747203
idu_white_female,2,0.0007038856937438021
idu_white_female,3,0.0009681377373263913
idu_white_female,4,0.001271580352745582
idu_white_female,5,0.0016732922413108388
idu_white_female,6,0.002467600256668729
idu_white_female,7,0.0037848742999689413
idu_white_female,8,0.005714684498573391
idu_white_female,9,0.008126795922810076
idu_white_female,10,0.011635271917895242
idu_white_female,11,0.018215914658042485
idu_white_female,12,0.029820870902873664
idu_white_female,13,0.051254939128020885
het_black_male,0,0.0006988036684354357
het_black_male,1,0.0013441063800577525
het_black_male,2,0.0016948521043008505
het_black_male,3,0.0019753288999779747
het_black_male,4,0.0023579553713615675
het_black_male,5,0.0028377606971088
het_black_male,6,0.004005847111995211
het_black_male,7,0.0060771304959650095
het_black_male,8,0.009392356097894551
het_black_male,9,0.013620544475510601
het_black_male,10,0.01882441614656072
het_black_male,11,0.026938751399744672
het_black_male,12,0.04220058728724573
het_black_male,13,0.06885999934035515
het_hisp_male,0,0.0006988036684354357
het_hisp_male,1,0.0013441063800577525
het_hisp_male,2,0.0016948521043008505
het_hisp_male,3,0.0019753288999779747
het_hisp_male,4,0.0023579553713615675
het_hisp_male,5,0.0028377606971088
het_hisp_male,6,0.004005847111995211
het_hisp_male,7,0.0060771304959650095
het_hisp_male,8,0.009392356097894551
het_hisp_male,9,0.013620544475510601
het_hisp_male,10,0.01882441614656072
het_hisp_male,11,0.026938751399744672
het_hisp_male,12,0.04220058728724573
het_hisp_male,13,0.06885999934035515
het_white_male,0,0.0006988036684354357
het_white_male,1,0.0013441063800577525
het_white_male,2,0.0016948521043008505
het_white_male,3,0.0019753288999779747
het_white_male,4,0.0023579553713615675
het_white_male,5,0.0028377606971088
het_white_male,6,0.004005847111995211
het_white_male,7,0.0060771304959650095
het_white_male,8,0.009392356097894551
het_white_male,9,0.013620544475510601
het_white_male,10,0.01882441614656072
het_white_male,11,0.026938751399744672
het_white_male,12,0.04220058728724573
het_white_male,13,0.06885999934035515
idu_black_male,0,0.0006988036684354357
idu_black_male,1,0.0013441063800577525
idu_black_male,2,0.0016948521043008505
idu_black_male,3,0.0019753288999779747
idu_black_male,4,0.0023579553713615675
idu_black_male,5,0.0028377606971088
idu_black_male,6,0.004005847111995211
idu_black_male,7,0.0060771304959650095
idu_black_male,8,0.009392356097894551
idu_black_male,9,0.013620544475510601
idu_black_male,10,0.01882441614656072
idu_black_male,11,0.026938751399744672
idu_black_male,12,0.04220058728724573
idu_black_male,13,0.06885999934035515
idu_hisp_male,0,0.0006988036684354357
idu_hisp_male,1,0.0013441063800577525
idu_hisp_male,2,0.0016948521043008505
idu_hisp_male,3,0.0019753288999779747
idu_hisp_male,4,0.0023579553713615675
idu_hisp_male,5,0.0028377606971088
idu_hisp_male,6,0.004005847111995211
idu_hisp_male,7,0.0060771304959650095
idu_hisp_male,8,0.009392356097894551
idu_hisp_male,9,0.013620544475510601
idu_hisp_male,10,0.01882441614656072
idu_hisp_male,11,0.026938751399744672
idu_hisp_male,12,0.04220058728724573
idu_hisp_male,13,0.06885999934035515
idu_white_male,0,0.0006988036684354357
idu_white_male,1,0.0013441063800577525
idu_white_male,2,0.0016948521043008505
idu_white_male,3,0.0019753288999779747
idu_white_male,4,0.0023579553713615675
idu_white_male,5,0.0028377606971088
idu_white_male,6,0.004005847111995211
idu_white_male,7,0.0060771304959650095
idu_white_male,8,0.009392356097894551
idu_white_male,9,0.013620544475510601
idu_white_male,10,0.01882441614656072
idu_white_male,11,0.026938751399744672
idu_white_male,12,0.04220058728724573
idu_white_male,13,0.06885999934035515
msm_black_male,0,0.0006988036684354357
msm_black_male,1,0.0013441063800577525
msm_black_male,2,0.0016948521043008505
msm_black_male,3,0.0019753288999779747
msm_black_male,4,0.0023579553713615675
msm_black_male,5,0.0028377606971088
msm_black_male,6,0.004005847111995211
msm_black_male,7,0.0060771304959650095
msm_black_male,8,0.009392356097894551
msm_black_male,9,0.013620544475510601
msm_black_male,10,0.01882441614656072
msm_black_male,11,0.026938751399744672
msm_black_male,12,0.04220058728724573
msm_black_male,13,0.06885999934035515
msm_hisp_male,0,0.0006988036684354357
