group,proportion
het_black_female,0.0039761431409999996
het_black_male,0.0039761431409999996
het_hisp_female,0.0039761431409999996
het_hisp_male,0.0039761431409999996
het_white_female,0.0039761431409999996
het_white_male,0.0039761431409999996
idu_black_female,0.0039761431409999996
idu_black_male,0.0039761431409999996
idu_hisp_female,0.0039761431409999996
idu_hisp_male,0.0039761431409999996
idu_white_female,0.0039761431409999996
idu_white_male,0.0039761431409999996
msm_black_male,0.0039761431409999996
msm_hisp_male,0.0039761431409999996
msm_white_male,0.0039761431409999996

78afb11136ad6826f4380131a8fb55a74548f900
