group,intercept,age,_age,__age,___age,year,sqrtcd4n,haart_period
het_black_male,219.2133986407703,-0.020800346893923627,0.04343760685367675,-0.17776894286888556,0.187940231849974,-0.1099462285724631,0.0021929953705750556,-0.13401769826267254
het_black_female,129.47127195476807,-0.007626318241305377,-0.01798585174351171,0.006950666252762309,0.049808685336179624,-0.06556016915136437,0.0035410523865897965,-0.23618393835438012
het_hisp_male,152.54174896102586,0.02170648094168724,-0.08506017510264564,0.11759726940812319,-0.01448046481398287,-0.07759576691594768,0.024898264797318086,-0.17904592602010994
het_hisp_female,220.37463500062748,-0.0028209343681938593,0.05392773903290364,-0.18368702442748347,0.16681004350748638,-0.11083183219763318,-0.013809468599119634,-0.10341941871848657
het_white_male,151.56960868553398,-0.024339705283141045,0.013812611742735913,-0.07718291408326923,0.041784536545611185,-0.07612409733748507,-0.0058609673561288616,-0.2373380529003336
het_white_female,83.69981509893745,-0.014040664144946277,-0.0513347748823613,0.14797327514678224,-0.11298643408805391,-0.042490190511682166,0.0015481632818408956,-0.408939478973601
idu_black_male,14.010515481620756,-0.026622899917593035,8.443529211090933e-5,0.00921559122312708,0.022249454887418915,-0.007947228120507641,-0.0021077018011547814,0.23503253884129785
idu_black_female,140.85472580106895,-0.019906116182695686,-0.020675449181862576,0.06851973048027854,0.08192273597140376,-0.0710645703894506,0.013608948893081141,0.22342081414399106
idu_hisp_male,106.0195520914852,-0.006430769313511209,5.107760705459432e-4,-0.09395288714967232,0.02470562955841654,-0.05373052990299647,-0.0064405936460883275,-0.2263077083836925
idu_hisp_female,1.6620963309285686,-0.001286901738484267,-0.019900246470495077,-0.2690758093353798,0.39171096426947116,-0.001532851641933608,-0.022578112742487923,-0.35363534389207313
idu_white_male,32.98475843804659,-0.02187832137022555,-0.02476462802000662,-0.03056540743265366,0.11292055347787447,-0.017397918808598558,0.005381305010962398,-0.14846783559514104
idu_white_female,133.52848390947904,-0.005920645683828064,-0.030099352663706037,-0.04332214562463715,0.23616058510500712,-0.06765248529318246,0.002993974706145898,-0.40868171325893704
msm_black_male,116.39882103890608,0.07453282342528544,-0.1901644415177397,0.20901013567020366,4.6857120510101303e-4,-0.0600452600683923,0.003912872625550946,-0.26162687646342647
msm_hisp_male,95.79858720702762,0.07582762870477049,-0.18203618036422775,0.26984338081323656,-0.10364244704715943,-0.05008151041177384,0.02019839295599512,-0.34748390481446995
msm_white_male,58.197976411722316,0.0055717556847562615,-0.059470347374136034,0.09283589848497789,0.0033296002873874266,-0.030221988869168808,0.004920355902223159,-0.278296657381283

175c6544104608c5e9499952dc58d989e4724f62
