group,meanint,meanslp,stdint,stdslp
het_black_female,-377.7098554086047,0.19560685707469325,130.78293373121664,-0.0620083222140627
idu_black_male,2.9123148609622462,0.005818483994841227,230.43412076835992,-0.11172808270365263
idu_hisp_male,-31.23825596367326,0.02295338144535313,73.30349909843832,-0.03341532464688725
msm_black_male,-542.6357074479901,0.27761689550720714,192.08749125278047,-0.09253233570581698
idu_white_male,-258.6674566514701,0.1366161480969634,215.9259910783131,-0.10467891908648061
het_hisp_female,-246.23801187488473,0.1304773522522698,1.6156822098393266,0.002400786336720381
het_black_male,51.51353193375626,-0.019211130304553778,240.87398200617315,-0.11665364959350948
het_hisp_male,-185.51864083235324,0.09865596497746706,-179.0845858254257,0.09239426845874302
msm_hisp_male,-408.42471894666653,0.21097756868427753,308.37862320359926,-0.15077220269930455
idu_black_female,-366.96982977902115,0.19040314098133052,210.59100748640165,-0.10176085347026047
msm_white_male,-460.5417971094198,0.2375911315208706,359.2937835294833,-0.17613763235435625
het_white_male,-452.22530882891874,0.23228118090878272,34.62847210346773,-0.014050024275550705
idu_hisp_female,271.896567583827,-0.12808378766261794,480.0930770294994,-0.23658757869697505
het_white_female,-339.1153380509771,0.17688892459986033,335.03461152577717,-0.1641750224011989
idu_white_female,-2.8011465188563465,0.00926185364887441,86.21514032391184,-0.04010912861481426

1ce0d7f3bd1ab1c803dc2206465fa0e053d573fd
