group,covariate,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,intercept,5627.2777427414,-2.80305639410117,0.305488464066574,-0.463859074881057,1.79512485644391,-0.0447403497340373,-0.0132834346620572,0.0626538883024621,1.85739917583089,8.44907087749847
het_black_male,year,-2.8030563940243,0.001396559161135,-0.0001674904487327,0.0002593005361124,-0.0010086153784601,1.91245781897337e-05,1.10576935905569e-05,-4.09338496283612e-05,-0.000936188094289,-0.0042310509103306
het_black_male,age,0.305488464056608,-0.0001674904487269,0.0008561052412681,-0.0016712622565573,0.0069521158391438,-0.0001153228535626,0.000463046080069,-0.0015982675377194,0.0004601505508573,0.0018482462182421
het_black_male,age1,-0.463859074845691,0.00025930053609,-0.0016712622565571,0.00390715930105,-0.0177154454389938,0.0002617628731667,-0.0008749150417291,0.00289719222234,-0.0001216722369227,-0.0026741770705252
het_black_male,age2,1.79512485623545,-0.0010086153783332,0.0069521158391454,-0.0177154454390008,0.0841170331190717,-0.0011330939478738,0.0033487765231444,-0.0107475699459794,-0.0003257480302888,0.0109074541693025
het_black_male,sqrtcd4n,-0.0447403497181825,1.91245781816932e-05,-0.000115322853562,0.0002617628731662,-0.0011330939478737,0.0018444911620671,-0.0051479625096702,0.0161822514193005,-0.0003144657483876,-0.002763259764822
het_black_male,sqrtcd41,-0.0132834347264778,1.10576936239041e-05,0.0004630460800675,-0.0008749150417283,0.0033487765231469,-0.0051479625096696,0.016739062111557,-0.0559771394486128,-0.0005295292976177,0.0051826797891669
het_black_male,sqrtcd42,0.0626538884640394,-4.09338497142112e-05,-0.0015982675377142,0.0028971922223349,-0.0107475699459746,0.0161822514192992,-0.0559771394486145,0.193821704767497,0.0030925321049303,-0.0170246808441294
het_black_male,h1yy_cat_1,1.85739917587685,-0.0009361880943403,0.0004601505508576,-0.000121672236926,-0.0003257480302572,-0.0003144657483943,-0.0005295292975917,0.0030925321048639,0.027355850925635,0.0146513645195702
het_black_male,h1yy_cat_2,8.44907087783955,-0.0042310509106,0.0018482462182575,-0.0026741770705608,0.0109074541695138,-0.0027632597648478,0.005182679789265,-0.0170246808443848,0.0146513645196464,0.172405636401837
het_black_female,intercept,5728.72687104473,-2.84895782044307,0.0105562104973937,0.376138197765494,-1.84740869018678,-0.147752318581803,0.443225177505039,-2.11813878861085,2.1460809463747,7.84528103162227
het_black_female,year,-2.84895782078272,0.001417021314423,-1.600550552314e-05,-0.0001642242695922,0.0008395335980872,6.8743239121964e-05,-0.0002115623781852,0.0010068862611939,-0.0010736013002354,-0.0039233984174239
het_black_female,age,0.0105562105083448,-1.60055055273083e-05,0.0006263539538728,-0.0014575559182691,0.0052477581943025,7.95494533555257e-05,-0.0001326451681967,0.0009473924139244,0.0001203668218515,0.0008031909683085
het_black_female,age1,0.376138197736528,-0.0001642242695674,-0.0014575559182694,0.0042776843883808,-0.0168597891439333,-0.000161552927653,0.0005084297981581,-0.0031808624449678,0.0009101135998216,6.16534207672986e-05
het_black_female,age2,-1.84740869008594,0.0008395335979935,0.0052477581943038,-0.0168597891439348,0.0690831641502797,0.0005059887475814,-0.0019448926283574,0.0117850290128985,-0.0048323463801488,-0.002427788792227
het_black_female,sqrtcd4n,-0.14775231857837,6.87432391188564e-05,7.95494533556948e-05,-0.0001615529276534,0.0005059887475832,0.001069042006522,-0.0026206205914907,0.0128868770605318,-0.0002562771986761,0.0006496916702755
het_black_female,sqrtcd41,0.443225177499809,-0.0002115623781772,-0.0001326451681972,0.0005084297981596,-0.0019448926283633,-0.0026206205914907,0.0078071708537375,-0.0419636280207481,-9.19074243454484e-05,-0.0025695058511714
het_black_female,sqrtcd42,-2.11813878855929,0.0010068862611434,0.0009473924139274,-0.0031808624449748,0.0117850290129265,0.0128868770605318,-0.0419636280207479,0.24278129773293,0.0013709471323096,0.0174385011530247
het_black_female,h1yy_cat_1,2.1460809469797,-0.0010736013003928,0.0001203668218545,0.0009101135998389,-0.0048323463802197,-0.0002562771986764,-9.19074243431923e-05,0.0013709471322935,0.0271697874842333,0.0119380332403085
het_black_female,h1yy_cat_2,7.84528103242042,-0.0039233984173283,0.000803190968296,6.16534208326128e-05,-0.0024277887924744,0.0006496916702686,-0.0025695058511554,0.0174385011529136,0.0119380332397652,0.0905144701526609
idu_black_male,intercept,2074.07470961897,-1.03241154738129,0.0408197701851671,0.107161251132743,-0.509383227662706,-0.0396789192860959,0.0944637481916997,-0.506442132116177,0.514133963699388,2.62478865817284
idu_black_male,year,-1.03241154744311,0.000514092926671,-2.80197631028465e-05,-3.85104287317296e-05,0.000187660820783,1.77436183498539e-05,-4.39634412273611e-05,0.0002425977249338,-0.0002591255810531,-0.0013290192108436
idu_black_male,age,0.0408197701892082,-2.80197631052702e-05,0.0003296763127076,-0.0006696487497647,0.0030582896187475,6.19165822488244e-06,2.73105348192544e-05,-0.0002548179715934,0.0001209649760953,0.0010182866422921
idu_black_male,age1,0.107161251115747,-3.85104287180802e-05,-0.0006696487497647,0.0018820128309472,-0.0098919477078914,-3.57913713901451e-05,4.46335227094189e-05,-4.58353246159139e-05,-8.2303588455144e-05,-0.00197426743054
idu_black_male,age2,-0.509383227706037,0.0001876608207809,0.0030582896187487,-0.0098919477079036,0.0560747750580311,0.0001959804967328,-0.0004580452407307,0.001880333607834,0.0003208869666086,0.009032475106209
