group,param,h1yy,pred
het_black_female,lambda1,2009,0.12172768463664596
het_black_female,lambda1,2010,0.15283418137981641
het_black_female,lambda1,2011,0.18394067812298687
het_black_female,lambda1,2012,0.21504717486616443
het_black_female,lambda1,2013,0.24615367160933488
het_black_female,lambda1,2014,0.27726016835251244
het_black_female,lambda1,2015,0.3083666650956829
het_black_female,lambda1,2016,0.33947316183885334
het_black_female,lambda1,2017,0.3705796585820309
het_black_female,lambda1,2018,0.40168615532520136
het_black_female,lambda1,2019,0.4327926520683789
het_black_female,lambda1,2020,0.46389914881154937
het_black_female,lambda1,2021,0.4950056455547198
het_black_female,lambda1,2022,0.5261121422978974
het_black_female,lambda1,2023,0.5572186390410678
het_black_female,lambda1,2024,0.5883251357842454
het_black_female,lambda1,2025,0.6194316325274158
het_black_female,lambda1,2026,0.6505381292705863
het_black_female,lambda1,2027,0.6816446260137639
het_black_female,lambda1,2028,0.7127511227569343
het_black_female,lambda1,2029,0.7438576195001119
het_black_female,lambda1,2030,0.7749641162432823
het_black_female,lambda1,2031,0.8060706129864528
het_black_female,lambda1,2032,0.8371771097296303
het_black_female,lambda1,2033,0.8682836064728008
het_black_female,lambda1,2034,0.8993901032159712
het_black_female,lambda1,2035,0.9304965999591488
het_black_female,lambda2,2009,0.8782723153633469
het_black_female,lambda2,2010,0.8471658186201765
het_black_female,lambda2,2011,0.8160593218769989
het_black_female,lambda2,2012,0.7849528251338285
het_black_female,lambda2,2013,0.7538463283906509
het_black_female,lambda2,2014,0.7227398316474805
het_black_female,lambda2,2015,0.69163333490431
het_black_female,lambda2,2016,0.6605268381611324
het_black_female,lambda2,2017,0.629420341417962
het_black_female,lambda2,2018,0.5983138446747915
het_black_female,lambda2,2019,0.567207347931614
het_black_female,lambda2,2020,0.5361008511884435
het_black_female,lambda2,2021,0.504994354445266
het_black_female,lambda2,2022,0.4738878577020955
het_black_female,lambda2,2023,0.44278136095892506
het_black_female,lambda2,2024,0.4116748642157475
het_black_female,lambda2,2025,0.38056836747257705
het_black_female,lambda2,2026,0.3494618707293995
het_black_female,lambda2,2027,0.31835537398622904
het_black_female,lambda2,2028,0.2872488772430586
het_black_female,lambda2,2029,0.25614238049988103
het_black_female,lambda2,2030,0.22503588375671058
het_black_female,lambda2,2031,0.19392938701354012
het_black_female,lambda2,2032,0.16282289027036256
het_black_female,lambda2,2033,0.1317163935271921
het_black_female,lambda2,2034,0.10060989678401455
het_black_female,lambda2,2035,0.0695034000408441
het_black_female,mu1,2009,24.850202905510287
het_black_female,mu1,2010,25.65144267807591
het_black_female,mu1,2011,26.452682450641305
het_black_female,mu1,2012,27.253922223206928
het_black_female,mu1,2013,28.05516199577255
het_black_female,mu1,2014,28.856401768338173
het_black_female,mu1,2015,29.657641540903796
het_black_female,mu1,2016,30.45888131346942
het_black_female,mu1,2017,31.260121086034815
het_black_female,mu1,2018,32.06136085860044
het_black_female,mu1,2019,32.86260063116606
het_black_female,mu1,2020,33.66384040373168
het_black_female,mu1,2021,34.465080176297306
het_black_female,mu1,2022,35.2663199488627
het_black_female,mu1,2023,36.067559721428324
het_black_female,mu1,2024,36.86879949399395
het_black_female,mu1,2025,37.67003926655957
het_black_female,mu1,2026,38.47127903912519
het_black_female,mu1,2027,39.272518811690816
het_black_female,mu1,2028,40.07375858425621
het_black_female,mu1,2029,40.874998356821834
het_black_female,mu1,2030,41.67623812938746
het_black_female,mu1,2031,42.47747790195308
het_black_female,mu1,2032,43.2787176745187
het_black_female,mu1,2033,44.079957447084325
het_black_female,mu1,2034,44.88119721964972
het_black_female,mu1,2035,45.682436992215344
het_black_female,mu2,2009,42.476113599546125
het_black_female,mu2,2010,43.16941897695415
het_black_female,mu2,2011,43.86272435436217
het_black_female,mu2,2012,44.556029731770195
het_black_female,mu2,2013,45.24933510917822
het_black_female,mu2,2014,45.94264048658624
het_black_female,mu2,2015,46.63594586399449
het_black_female,mu2,2016,47.32925124140252
het_black_female,mu2,2017,48.02255661881054
het_black_female,mu2,2018,48.715861996218564
het_black_female,mu2,2019,49.40916737362659
het_black_female,mu2,2020,50.10247275103484
het_black_female,mu2,2021,50.79577812844286
het_black_female,mu2,2022,51.489083505850886
het_black_female,mu2,2023,52.18238888325891
het_black_female,mu2,2024,52.87569426066693
het_black_female,mu2,2025,53.568999638075184
het_black_female,mu2,2026,54.26230501548321
het_black_female,mu2,2027,54.95561039289123
het_black_female,mu2,2028,55.648915770299254
het_black_female,mu2,2029,56.34222114770728
het_black_female,mu2,2030,57.03552652511553
het_black_female,mu2,2031,57.72883190252355
het_black_female,mu2,2032,58.422137279931576
het_black_female,mu2,2033,59.1154426573396
het_black_female,mu2,2034,59.80874803474762
het_black_female,mu2,2035,60.502053412155874
het_black_female,sigma1,2009,3.356619478035327
het_black_female,sigma1,2010,3.642091497181241
het_black_female,sigma1,2011,3.9275635163271545
het_black_female,sigma1,2012,4.213035535473068
het_black_female,sigma1,2013,4.498507554618982
het_black_female,sigma1,2014,4.783979573764896
het_black_female,sigma1,2015,5.069451592910809
het_black_female,sigma1,2016,5.354923612056723
het_black_female,sigma1,2017,5.640395631202637
het_black_female,sigma1,2018,5.92586765034855
het_black_female,sigma1,2019,6.211339669494464
het_black_female,sigma1,2020,6.496811688640378
het_black_female,sigma1,2021,6.782283707786291
het_black_female,sigma1,2022,7.067755726932205
het_black_female,sigma1,2023,7.353227746078119
het_black_female,sigma1,2024,7.6386997652240325
het_black_female,sigma1,2025,7.924171784369946
het_black_female,sigma1,2026,8.20964380351586
het_black_female,sigma1,2027,8.495115822661774
het_black_female,sigma1,2028,8.780587841807687
het_black_female,sigma1,2029,9.066059860953601
het_black_female,sigma1,2030,9.351531880099515
het_black_female,sigma1,2031,9.637003899245428
het_black_female,sigma1,2032,9.922475918391342
het_black_female,sigma1,2033,10.20794793753737
het_black_female,sigma1,2034,10.493419956683283
het_black_female,sigma1,2035,10.778891975829197
het_black_female,sigma2,2009,10.466569441385104
het_black_female,sigma2,2010,10.207537992205857
het_black_female,sigma2,2011,9.94850654302661
het_black_female,sigma2,2012,9.68947509384725
het_black_female,sigma2,2013,9.430443644668003
het_black_female,sigma2,2014,9.171412195488756
het_black_female,sigma2,2015,8.912380746309509
het_black_female,sigma2,2016,8.653349297130148
het_black_female,sigma2,2017,8.394317847950902
het_black_female,sigma2,2018,8.135286398771655
het_black_female,sigma2,2019,7.876254949592294
het_black_female,sigma2,2020,7.617223500413047
het_black_female,sigma2,2021,7.3581920512338
het_black_female,sigma2,2022,7.0991606020544396
het_black_female,sigma2,2023,6.840129152875193
het_black_female,sigma2,2024,6.581097703695946
het_black_female,sigma2,2025,6.322066254516699
het_black_female,sigma2,2026,6.063034805337338
het_black_female,sigma2,2027,5.804003356158091
het_black_female,sigma2,2028,5.544971906978844
het_black_female,sigma2,2029,5.285940457799484
het_black_female,sigma2,2030,5.026909008620237
het_black_female,sigma2,2031,4.76787755944099
het_black_female,sigma2,2032,4.508846110261743
het_black_female,sigma2,2033,4.249814661082382
het_black_female,sigma2,2034,3.9907832119031355
het_black_female,sigma2,2035,3.7317517627238885
idu_black_male,lambda1,2009,0.050079961950871166
idu_black_male,lambda1,2010,0.11136200227795712
idu_black_male,lambda1,2011,0.17264404260502886
idu_black_male,lambda1,2012,0.2339260829321006
idu_black_male,lambda1,2013,0.29520812325918655
idu_black_male,lambda1,2014,0.3564901635862583
idu_black_male,lambda1,2015,0.41777220391333003
idu_black_male,lambda1,2016,0.479054244240416
idu_black_male,lambda1,2017,0.5403362845674877
idu_black_male,lambda1,2018,0.6016183248945595
idu_black_male,lambda1,2019,0.6629003652216454
idu_black_male,lambda1,2020,0.7241824055487172
idu_black_male,lambda1,2021,0.7854644458757889
idu_black_male,lambda1,2022,0.8467464862028748
idu_black_male,lambda1,2023,0.9080285265299466
idu_black_male,lambda1,2024,0.9693105668570183
idu_black_male,lambda1,2025,1.03059260718409
idu_black_male,lambda1,2026,1.091874647511176
idu_black_male,lambda1,2027,1.1531566878382478
idu_black_male,lambda1,2028,1.2144387281653195
