group,age2009cat,h1yy,pct,upper,lower
het_black_female,1,2000,0,0,0
het_black_female,1,2001,0,0,0
het_black_female,1,2002,0,0,0
het_black_female,1,2003,0,0,0
het_black_female,1,2004,0,0,0
het_black_female,1,2005,0,0,0
het_black_female,1,2006,0,0,0
het_black_female,1,2007,0,0,0
het_black_female,1,2008,0.75,0.75,0
het_black_female,1,2009,0.25,1,0.75
het_black_female,2,2000,0.03194888178913738,0.03194888178913738,0
het_black_female,2,2001,0.022364217252396165,0.054313099041533544,0.03194888178913738
het_black_female,2,2002,0.01597444089456869,0.07028753993610223,0.054313099041533544
het_black_female,2,2003,0.02875399361022364,0.09904153354632587,0.07028753993610223
het_black_female,2,2004,0.03514376996805112,0.134185303514377,0.09904153354632587
het_black_female,2,2005,0.09584664536741214,0.23003194888178913,0.134185303514377
het_black_female,2,2006,0.134185303514377,0.3642172523961661,0.23003194888178913
het_black_female,2,2007,0.15654952076677317,0.5207667731629393,0.3642172523961661
het_black_female,2,2008,0.2268370607028754,0.7476038338658146,0.5207667731629393
het_black_female,2,2009,0.2523961661341853,1,0.7476038338658146
het_black_female,3,2000,0.16738197424892703,0.16738197424892703,0
het_black_female,3,2001,0.043991416309012876,0.2113733905579399,0.16738197424892703
het_black_female,3,2002,0.04935622317596566,0.2607296137339056,0.2113733905579399
het_black_female,3,2003,0.07618025751072961,0.3369098712446352,0.2607296137339056
het_black_female,3,2004,0.08798283261802575,0.4248927038626609,0.3369098712446352
het_black_female,3,2005,0.09012875536480687,0.5150214592274678,0.4248927038626609
het_black_female,3,2006,0.11909871244635194,0.6341201716738197,0.5150214592274678
het_black_female,3,2007,0.10407725321888411,0.7381974248927039,0.6341201716738197
het_black_female,3,2008,0.13197424892703863,0.8701716738197425,0.7381974248927039
het_black_female,3,2009,0.1298283261802575,1,0.8701716738197425
het_black_female,4,2000,0.2771179730799683,0.2771179730799683,0
het_black_female,4,2001,0.0728424386381631,0.3499604117181314,0.2771179730799683
het_black_female,4,2002,0.04513064133016627,0.3950910530482977,0.3499604117181314
het_black_female,4,2003,0.06967537608867776,0.46476642913697547,0.3950910530482977
het_black_female,4,2004,0.06571654790182106,0.5304829770387965,0.46476642913697547
het_black_female,4,2005,0.07125890736342043,0.601741884402217,0.5304829770387965
het_black_female,4,2006,0.0768012668250198,0.6785431512272367,0.601741884402217
het_black_female,4,2007,0.10055423594615993,0.7790973871733967,0.6785431512272367
het_black_female,4,2008,0.1060965954077593,0.885193982581156,0.7790973871733967
het_black_female,4,2009,0.11480601741884403,1,0.885193982581156
het_black_female,5,2000,0.2937853107344633,0.2937853107344633,0
het_black_female,5,2001,0.062146892655367235,0.3559322033898305,0.2937853107344633
het_black_female,5,2002,0.04943502824858757,0.4053672316384181,0.3559322033898305
het_black_female,5,2003,0.08050847457627118,0.4858757062146893,0.4053672316384181
het_black_female,5,2004,0.08333333333333333,0.5692090395480226,0.4858757062146893
het_black_female,5,2005,0.0692090395480226,0.6384180790960452,0.5692090395480226
het_black_female,5,2006,0.08192090395480225,0.7203389830508474,0.6384180790960452
het_black_female,5,2007,0.08898305084745763,0.809322033898305,0.7203389830508474
het_black_female,5,2008,0.10734463276836158,0.9166666666666666,0.809322033898305
het_black_female,5,2009,0.08333333333333333,1,0.9166666666666666
het_black_female,6,2000,0.3096774193548387,0.3096774193548387,0
het_black_female,6,2001,0.07096774193548387,0.3806451612903226,0.3096774193548387
het_black_female,6,2002,0.025806451612903226,0.40645161290322585,0.3806451612903226
het_black_female,6,2003,0.08387096774193549,0.4903225806451613,0.40645161290322585
het_black_female,6,2004,0.06451612903225806,0.5548387096774193,0.4903225806451613
het_black_female,6,2005,0.07096774193548387,0.6258064516129033,0.5548387096774193
het_black_female,6,2006,0.05161290322580645,0.6774193548387097,0.6258064516129033
het_black_female,6,2007,0.05806451612903226,0.7354838709677419,0.6774193548387097
het_black_female,6,2008,0.15483870967741936,0.8903225806451613,0.7354838709677419
het_black_female,6,2009,0.10967741935483871,1,0.8903225806451613
het_black_female,7,2000,0.35135135135135137,0.35135135135135137,0
het_black_female,7,2001,0.08108108108108109,0.43243243243243246,0.35135135135135137
het_black_female,7,2002,0.08108108108108109,0.5135135135135136,0.43243243243243246
het_black_female,7,2003,0.08108108108108109,0.5945945945945946,0.5135135135135136
het_black_female,7,2004,0.05405405405405406,0.6486486486486487,0.5945945945945946
het_black_female,7,2005,0.10810810810810811,0.7567567567567568,0.6486486486486487
het_black_female,7,2006,0.08108108108108109,0.8378378378378379,0.7567567567567568
het_black_female,7,2007,0.02702702702702703,0.8648648648648649,0.8378378378378379
het_black_female,7,2008,0.13513513513513514,1,0.8648648648648649
het_black_female,7,2009,0,1,1
idu_black_male,1,2000,0,0,0
idu_black_male,1,2001,0,0,0
idu_black_male,1,2002,0,0,0
idu_black_male,1,2003,0,0,0
idu_black_male,1,2004,0,0,0
idu_black_male,1,2005,0,0,0
idu_black_male,1,2006,0,0,0
idu_black_male,1,2007,0,0,0
idu_black_male,1,2008,0,0,0
idu_black_male,1,2009,1,1,0
idu_black_male,2,2000,0.05555555555555555,0.05555555555555555,0
idu_black_male,2,2001,0,0.05555555555555555,0.05555555555555555
idu_black_male,2,2002,0.05555555555555555,0.1111111111111111,0.05555555555555555
idu_black_male,2,2003,0,0.1111111111111111,0.1111111111111111
idu_black_male,2,2004,0,0.1111111111111111,0.1111111111111111
idu_black_male,2,2005,0,0.1111111111111111,0.1111111111111111
idu_black_male,2,2006,0,0.1111111111111111,0.1111111111111111
