group,term,estimate,conf_high,conf_low
het_black_female,mu1,31.930436146813918,34.77166698214186,29.089205311485976
het_black_female,mu2,44.75049457316936,47.07094446182527,42.430044684513454
het_black_female,sigma1,5.367422664058588,7.523129532311046,3.2117157958061306
het_black_female,sigma2,9.730804187934707,10.579151690495907,8.882456685373507
het_black_female,lambda1,0.12321527673731014,0.3019411168492051,-0.05551056337458482
idu_black_male,mu1,34.53102707664164,40.31066508286894,28.751389070414348
idu_black_male,mu2,53.7388792075961,54.00046821026302,53.477290204929176
idu_black_male,sigma1,5.963828037311658,8.39445661566918,3.5331994589541362
idu_black_male,sigma2,6.394175343620108,6.588912361585684,6.1994383256545325
idu_black_male,lambda1,0.022018125961868487,0.049965497295327926,-0.005929245371590949
idu_hisp_male,mu1,36.20262633148449,39.34385406580741,33.06139859716156
idu_hisp_male,mu2,52.77114120940935,53.740270829742656,51.802011589076045
idu_hisp_male,sigma1,5.075644326442517,6.611361212924232,3.5399274399608025
idu_hisp_male,sigma2,6.554422593206007,7.176581578353124,5.932263608058889
idu_hisp_male,lambda1,0.14627394563356033,0.23070917345963543,0.06183871780748523
msm_black_male,mu1,25.90157466563675,26.484304254229446,25.318845077044056
msm_black_male,mu2,44.15102821208629,44.696846098648294,43.60521032552428
msm_black_male,sigma1,3.36447304669819,3.8423175081769405,2.8866285852194395
msm_black_male,sigma2,8.995675326063536,9.393021332501823,8.598329319625249
msm_black_male,lambda1,0.14282759687302246,0.16980904988492346,0.11584614386112148
idu_white_male,mu1,27.456577651446608,30.425410395494747,24.48774490739847
idu_white_male,mu2,49.398451154999975,49.778996659967476,49.017905650032475
idu_white_male,sigma1,3.2020609761615773,4.946342021158374,1.4577799311647803
idu_white_male,sigma2,8.269507648359733,8.540736229632381,7.998279067087085
idu_white_male,lambda1,0.015177729811147372,0.033791854918706815,-0.003436395296412067
het_hisp_female,mu1,32.32390604609915,35.59662490960016,29.05118718259813
het_hisp_female,mu2,45.710917802110934,49.518186347091415,41.90364925713045
het_hisp_female,sigma1,5.06763772670709,7.4125550139665926,2.7227204394475866
het_hisp_female,sigma2,9.525645810720798,10.975773901814264,8.075517719627332
het_hisp_female,lambda1,0.1893213556593371,0.4248272732190756,-0.04618456190040138
het_black_male,mu1,46.122316598561355,46.94460643765384,45.30002675946887
het_black_male,mu2,47.272914810074944,48.11968480333811,46.42614481681178
het_black_male,sigma1,6.065526756493268,7.39692834165698,4.7341251713295565
het_black_male,sigma2,11.387065000201018,12.426359808012975,10.34777019238906
het_black_male,lambda1,0.39794656975846054,0.593469673495689,0.2024234660212321
het_hisp_male,mu1,40.17377416679762,42.88507769268622,37.462470640909025
het_hisp_male,mu2,53.13123458201475,62.948188125483426,43.31428103854607
het_hisp_male,sigma1,7.944128266504731,9.571918970628063,6.316337562381399
het_hisp_male,sigma2,10.330379258822656,13.745488468060138,6.915270049585175
het_hisp_male,lambda1,0.6553128889644627,0.9868139302015936,0.32381184772733185
msm_hisp_male,mu1,40.7755980757064,41.3890340372227,40.162162114190096
msm_hisp_male,mu2,65.22083207209378,78.27254620366263,52.16911794052494
msm_hisp_male,sigma1,8.734919022730375,9.17834508422805,8.2914929612327
msm_hisp_male,sigma2,9.291667607656649,14.431487787425523,4.151847427887775
msm_hisp_male,lambda1,0.9735304698621056,1.0350401012037522,0.9120208385204588
idu_black_female,mu1,47.810425348459944,52.518925785348344,43.101924911571544
idu_black_female,mu2,53.12674485899441,55.12433070045941,51.1291590175294
idu_black_female,sigma1,7.21453818155887,8.756358659752339,5.672717703365402
idu_black_female,sigma2,3.6621790404101184,5.631732072489944,1.6926260083302924
idu_black_female,lambda1,0.7403843676428512,1.1086286258619518,0.3721401094237506
msm_white_male,mu1,46.315885802446374,46.78899547509227,45.84277612980048
msm_white_male,mu2,46.89436451953732,47.143129974604705,46.645599064469934
msm_white_male,sigma1,3.4908030616041335,4.095307161541917,2.88629896166635
msm_white_male,sigma2,10.29963358150603,10.53412865907544,10.065138503936618
msm_white_male,lambda1,0.1587424265233416,0.1985463101442964,0.11893854290238681
het_white_male,mu1,47.14898569473001,49.043821833401594,45.25414955605842
het_white_male,mu2,49.449389732099704,51.859099496486664,47.03967996771274
het_white_male,sigma1,4.271386163773673,6.883463731733759,1.6593085958135885
het_white_male,sigma2,10.855928076738387,12.056767174646396,9.655088978830378
het_white_male,lambda1,0.19281631364603802,0.42468780355752067,-0.03905517626544461
idu_hisp_female,mu1,29.491291350452876,33.56748133028005,25.4151013706257
idu_hisp_female,mu2,49.46569262787034,51.10594396160541,47.82544129413527
idu_hisp_female,sigma1,2.325890008525525,4.565390475534082,0.08638954151696776
idu_hisp_female,sigma2,6.979733789175499,8.127813169601934,5.831654408749063
idu_hisp_female,lambda1,0.05162940225537906,0.15022423324246298,-0.046965428731704846
het_white_female,mu1,42.5029624330198,45.13545384660738,39.87047101943222
het_white_female,mu2,53.780863685995264,68.21983360527963,39.341893766710896
het_white_female,sigma1,8.57971563554753,10.335428293293077,6.824002977801982
het_white_female,sigma2,10.475542153449071,15.375755203693402,5.57532910320474
het_white_female,lambda1,0.7800453067528431,1.1388956117355875,0.42119500177009866
idu_white_female,mu1,33.87420156007173,40.126229410732954,27.62217370941051
idu_white_female,mu2,46.62213157052548,51.16693362775507,42.077329513295894
idu_white_female,sigma1,4.599233552049851,7.921306432063554,1.2771606720361484
idu_white_female,sigma2,7.820787586442734,9.761179917141996,5.880395255743471
idu_white_female,lambda1,0.1263015545609427,0.49957318254327776,-0.2469700734213924

247f8e3b5fa0a6dbeb511e1039febe042ff9c6eb
